Lineup,Day,Date,Location
FERRY CORSTEN PRESENTS SYSTEM F,Saturday,"May 18, 2019",Las Vegas
GANESH,Saturday,"May 18, 2019",Las Vegas
GET REAL: GREEN VELVET & CLAUDE VONSTROKE ,Saturday,"May 18, 2019",Las Vegas
GUNZ FOR HIRE,Saturday,"May 18, 2019",Las Vegas
HEKLER,Saturday,"May 18, 2019",Las Vegas
INFECTED MUSHROOM,Saturday,"May 18, 2019",Las Vegas
JOHN O'CALLAGHAN,Saturday,"May 18, 2019",Las Vegas
JOSEPH CAPRIATI,Saturday,"May 18, 2019",Las Vegas
JSTJR,Saturday,"May 18, 2019",Las Vegas
KASKADE,Saturday,"May 18, 2019",Las Vegas
KAYZO,Saturday,"May 18, 2019",Las Vegas
LADY FAITH,Saturday,"May 18, 2019",Las Vegas
LOUD LUXURY,Saturday,"May 18, 2019",Las Vegas
LUCATI,Saturday,"May 18, 2019",Las Vegas
MARTIN GARRIX,Saturday,"May 18, 2019",Las Vegas
THE MARTINEZ BROTHERS,Saturday,"May 18, 2019",Las Vegas
MATRIX & FUTUREBOUND B2B CYANTIFIC B2B MURDOCK,Saturday,"May 18, 2019",Las Vegas
MAU5TRAP,Saturday,"May 18, 2019",Las Vegas
MEDASIN,Saturday,"May 18, 2019",Las Vegas
MELE,Saturday,"May 18, 2019",Las Vegas
MONSTERGETDOWN B2B RHYNO,Saturday,"May 18, 2019",Las Vegas
NERO (DJ SET),Saturday,"May 18, 2019",Las Vegas
NGHTMRE,Saturday,"May 18, 2019",Las Vegas
NITTI GRITTI,Saturday,"May 18, 2019",Las Vegas
NO MANA,Saturday,"May 18, 2019",Las Vegas
NOFONE,Saturday,"May 18, 2019",Las Vegas
NOIZU,Saturday,"May 18, 2019",Las Vegas
PAUL OKANEFOLD,Saturday,"May 18, 2019",Las Vegas
PAUL VAN DYK,Saturday,"May 18, 2019",Las Vegas
RAITO,Saturday,"May 18, 2019",Las Vegas
REZZ,Saturday,"May 18, 2019",Las Vegas
RINZEN B2B MATT LANGE,Saturday,"May 18, 2019",Las Vegas
RJ VAN XETTEN,Saturday,"May 18, 2019",Las Vegas
RL GRIME,Saturday,"May 18, 2019",Las Vegas
ROB GEE,Saturday,"May 18, 2019",Las Vegas
SIAN,Saturday,"May 18, 2019",Las Vegas
SLANDER,Saturday,"May 18, 2019",Las Vegas
SUAE,Saturday,"May 18, 2019",Las Vegas
SUB FOCUS B2B WILKINSON,Saturday,"May 18, 2019",Las Vegas
SUB ZERO PROJECT,Saturday,"May 18, 2019",Las Vegas
SYLENCE,Saturday,"May 18, 2019",Las Vegas
TAILS,Saturday,"May 18, 2019",Las Vegas
TECHNOBOY,Saturday,"May 18, 2019",Las Vegas
13,Saturday,"May 18, 2019",Las Vegas
TIESTO,Saturday,"May 18, 2019",Las Vegas
TOKMONSTA,Saturday,"May 18, 2019",Las Vegas
VALENTINO KHAN,Saturday,"May 18, 2019",Las Vegas
